prompt,prompt_id,file_count,contain_keyword,n,eh,v,axr
She had your dark suit in greasy wash water all year.,sa1,630,False,0,1,0,2
Don't ask me to carry an oily rag like that.,sa2,630,False,1,1,0,0
This was easy for us.,sx3,7,False,0,0,0,0
Jane may earn more money by working hard.,sx4,7,False,3,0,0,0
She is thinner than I am.,sx5,7,False,2,1,0,0
Bright sunshine shimmers on the ocean.,sx6,7,False,3,0,0,1
Nothing is as offensive as innocence.,sx7,7,False,4,2,1,0
Why yell or worry over silly items?,sx8,7,False,0,1,1,0
Where were you while we were away?,sx9,7,False,0,1,0,0
Are your grades higher or lower than Nancy's?,sx10,7,False,2,0,0,2
He will allow a rare lie.,sx11,7,False,0,1,0,1
Will Robin wear a yellow lily?,sx12,7,False,1,2,0,0
Swing your arm as high as you can.,sx13,7,False,1,0,0,1
"Before Thursday's exam, review every formula.",sx14,7,False,0,1,2,0
The museum hires musicians every evening.,sx15,7,False,1,1,2,1
A roll of wire lay near the wall.,sx16,7,False,1,0,1,2
Carl lives in a lively home.,sx17,7,False,1,0,2,0
Alimony harms a divorced man's wealth.,sx18,7,False,1,1,1,0
Aluminum silverware can often be flimsy.,sx19,7,False,1,1,1,1
"She wore warm, fleecy, woolen overalls.",sx20,7,False,1,0,0,1
Alfalfa is healthy for you.,sx21,7,False,0,1,0,0
"When all else fails, use force.",sx22,7,False,1,1,0,0
Those musicians harmonize marvelously.,sx23,7,False,0,0,1,0
"Although always alone, we survive.",sx24,7,False,1,0,2,1
Only lawyers love millionaires.,sx25,7,False,2,1,1,1
Most young rise early every morning.,sx26,7,False,0,1,1,0
Did dad do academic bidding?,sx27,7,False,0,1,0,0
Beg that guard for one gallon of gas.,sx28,7,False,2,0,1,0
Help Greg to pick a peck of potatoes.,sx29,7,False,0,3,0,0
Get a calico cat to keep.,sx30,7,False,0,0,0,0
A good attitude is unbeatable.,sx31,7,False,1,0,0,0
It's fun to roast marshmallows on a gas burner.,sx32,7,False,3,0,0,1
